sehir_adi,analiz_baslangic_tarih,analiz_baslangic_saat,analiz_bitis_tarih,analiz_bitis_saat,sonuc
Adana,25-03-2024,00:00,31-03-2024,23:59,0.22
Adıyaman,25-03-2024,00:00,31-03-2024,23:59,0.14
Afyonkarahisar,25-03-2024,00:00,31-03-2024,23:59,0.15
Ağrı,25-03-2024,00:00,31-03-2024,23:59,0.12
Amasya,25-03-2024,00:00,31-03-2024,23:59,0.12
Ankara,25-03-2024,00:00,31-03-2024,23:59,0.22
Antalya,25-03-2024,00:00,31-03-2024,23:59,0.19
Artvin,25-03-2024,00:00,31-03-2024,23:59,0.18
Aydın,25-03-2024,00:00,31-03-2024,23:59,0.23
Balıkesir,25-03-2024,00:00,31-03-2024,23:59,0.14
Bilecik,25-03-2024,00:00,31-03-2024,23:59,0.13
Bingöl,25-03-2024,00:00,31-03-2024,23:59,0.11
Bitlis,25-03-2024,00:00,31-03-2024,23:59,0.17
Bolu,25-03-2024,00:00,31-03-2024,23:59,0.17
Burdur,25-03-2024,00:00,31-03-2024,23:59,0.1
Bursa,25-03-2024,00:00,31-03-2024,23:59,0.32
Çanakkale,25-03-2024,00:00,31-03-2024,23:59,0.14
Çankırı,25-03-2024,00:00,31-03-2024,23:59,0.09
Çorum,25-03-2024,00:00,31-03-2024,23:59,0.11
Denizli,25-03-2024,00:00,31-03-2024,23:59,0.22
Diyarbakır,25-03-2024,00:00,31-03-2024,23:59,0.16
Edirne,25-03-2024,00:00,31-03-2024,23:59,0.18
Elazığ,25-03-2024,00:00,31-03-2024,23:59,0.13
Erzincan,25-03-2024,00:00,31-03-2024,23:59,0.13
Erzurum,25-03-2024,00:00,31-03-2024,23:59,0.15
Eskişehir,25-03-2024,00:00,31-03-2024,23:59,0.17
Gaziantep,25-03-2024,00:00,31-03-2024,23:59,0.19
Giresun,25-03-2024,00:00,31-03-2024,23:59,0.16
Gümüşhane,25-03-2024,00:00,31-03-2024,23:59,0.1
Hakkari,25-03-2024,00:00,31-03-2024,23:59,0.15
Hatay,25-03-2024,00:00,31-03-2024,23:59,0.24
Isparta,25-03-2024,00:00,31-03-2024,23:59,0.17
Mersin,25-03-2024,00:00,31-03-2024,23:59,0.23
İstanbul,25-03-2024,00:00,31-03-2024,23:59,0.4
İzmir,25-03-2024,00:00,31-03-2024,23:59,0.32
Kars,25-03-2024,00:00,31-03-2024,23:59,0.11
Kastamonu,25-03-2024,00:00,31-03-2024,23:59,0.1
Kayseri,25-03-2024,00:00,31-03-2024,23:59,0.15
Kırklareli,25-03-2024,00:00,31-03-2024,23:59,0.1
Kırşehir,25-03-2024,00:00,31-03-2024,23:59,0.12
Kocaeli,25-03-2024,00:00,31-03-2024,23:59,0.24
Konya,25-03-2024,00:00,31-03-2024,23:59,0.13
Kütahya,25-03-2024,00:00,31-03-2024,23:59,0.09
Malatya,25-03-2024,00:00,31-03-2024,23:59,0.15
Manisa,25-03-2024,00:00,31-03-2024,23:59,0.2
Kahramanmaraş,25-03-2024,00:00,31-03-2024,23:59,0.16
Mardin,25-03-2024,00:00,31-03-2024,23:59,0.18
Muğla,25-03-2024,00:00,31-03-2024,23:59,0.15
Muş,25-03-2024,00:00,31-03-2024,23:59,0.14
Nevşehir,25-03-2024,00:00,31-03-2024,23:59,0.15
Niğde,25-03-2024,00:00,31-03-2024,23:59,0.11
Ordu,25-03-2024,00:00,31-03-2024,23:59,0.22
Rize,25-03-2024,00:00,31-03-2024,23:59,0.13
Sakarya,25-03-2024,00:00,31-03-2024,23:59,0.19
Samsun,25-03-2024,00:00,31-03-2024,23:59,0.25
Siirt,25-03-2024,00:00,31-03-2024,23:59,0.19
Sinop,25-03-2024,00:00,31-03-2024,23:59,0.12
Sivas,25-03-2024,00:00,31-03-2024,23:59,0.11
Tekirdağ,25-03-2024,00:00,31-03-2024,23:59,0.12
Tokat,25-03-2024,00:00,31-03-2024,23:59,0.12
Trabzon,25-03-2024,00:00,31-03-2024,23:59,0.19
Tunceli,25-03-2024,00:00,31-03-2024,23:59,0.14
Şanlıurfa,25-03-2024,00:00,31-03-2024,23:59,0.15
Uşak,25-03-2024,00:00,31-03-2024,23:59,0.16
Van,25-03-2024,00:00,31-03-2024,23:59,0.17
Yozgat,25-03-2024,00:00,31-03-2024,23:59,0.06
Zonguldak,25-03-2024,00:00,31-03-2024,23:59,0.18
Aksaray,25-03-2024,00:00,31-03-2024,23:59,0.11
Bayburt,25-03-2024,00:00,31-03-2024,23:59,0.07
Karaman,25-03-2024,00:00,31-03-2024,23:59,0.11
Kırıkkale,25-03-2024,00:00,31-03-2024,23:59,0.2
Batman,25-03-2024,00:00,31-03-2024,23:59,0.19
Şırnak,25-03-2024,00:00,31-03-2024,23:59,0.15
Bartın,25-03-2024,00:00,31-03-2024,23:59,0.15
Ardahan,25-03-2024,00:00,31-03-2024,23:59,0.08
Iğdır,25-03-2024,00:00,31-03-2024,23:59,0.16
Yalova,25-03-2024,00:00,31-03-2024,23:59,0.25
Karabük,25-03-2024,00:00,31-03-2024,23:59,0.12
Kilis,25-03-2024,00:00,31-03-2024,23:59,0.15
Osmaniye,25-03-2024,00:00,31-03-2024,23:59,0.2
Düzce,25-03-2024,00:00,31-03-2024,23:59,0.16
Adana,01-04-2024,00:00,07-04-2024,23:59,0.22
Adıyaman,01-04-2024,00:00,07-04-2024,23:59,0.15
Afyonkarahisar,01-04-2024,00:00,07-04-2024,23:59,0.15
Ağrı,01-04-2024,00:00,07-04-2024,23:59,0.12
Amasya,01-04-2024,00:00,07-04-2024,23:59,0.12
Ankara,01-04-2024,00:00,07-04-2024,23:59,0.22
Antalya,01-04-2024,00:00,07-04-2024,23:59,0.19
Artvin,01-04-2024,00:00,07-04-2024,23:59,0.19
Aydın,01-04-2024,00:00,07-04-2024,23:59,0.23
Balıkesir,01-04-2024,00:00,07-04-2024,23:59,0.14
Bilecik,01-04-2024,00:00,07-04-2024,23:59,0.13
Bingöl,01-04-2024,00:00,07-04-2024,23:59,0.11
Bitlis,01-04-2024,00:00,07-04-2024,23:59,0.14
Bolu,01-04-2024,00:00,07-04-2024,23:59,0.16
Burdur,01-04-2024,00:00,07-04-2024,23:59,0.1
Bursa,01-04-2024,00:00,07-04-2024,23:59,0.33
Çanakkale,01-04-2024,00:00,07-04-2024,23:59,0.14
Çankırı,01-04-2024,00:00,07-04-2024,23:59,0.09
Çorum,01-04-2024,00:00,07-04-2024,23:59,0.11
Denizli,01-04-2024,00:00,07-04-2024,23:59,0.22
Diyarbakır,01-04-2024,00:00,07-04-2024,23:59,0.16
Edirne,01-04-2024,00:00,07-04-2024,23:59,0.18
Elazığ,01-04-2024,00:00,07-04-2024,23:59,0.13
Erzincan,01-04-2024,00:00,07-04-2024,23:59,0.13
Erzurum,01-04-2024,00:00,07-04-2024,23:59,0.15
Eskişehir,01-04-2024,00:00,07-04-2024,23:59,0.17
Gaziantep,01-04-2024,00:00,07-04-2024,23:59,0.2
Giresun,01-04-2024,00:00,07-04-2024,23:59,0.16
Gümüşhane,01-04-2024,00:00,07-04-2024,23:59,0.1
Hakkari,01-04-2024,00:00,07-04-2024,23:59,0.14
Hatay,01-04-2024,00:00,07-04-2024,23:59,0.24
Isparta,01-04-2024,00:00,07-04-2024,23:59,0.17
Mersin,01-04-2024,00:00,07-04-2024,23:59,0.23
İstanbul,01-04-2024,00:00,07-04-2024,23:59,0.4
İzmir,01-04-2024,00:00,07-04-2024,23:59,0.32
Kars,01-04-2024,00:00,07-04-2024,23:59,0.11
Kastamonu,01-04-2024,00:00,07-04-2024,23:59,0.11
Kayseri,01-04-2024,00:00,07-04-2024,23:59,0.16
Kırklareli,01-04-2024,00:00,07-04-2024,23:59,0.1
Kırşehir,01-04-2024,00:00,07-04-2024,23:59,0.12
Kocaeli,01-04-2024,00:00,07-04-2024,23:59,0.24
Konya,01-04-2024,00:00,07-04-2024,23:59,0.13
Kütahya,01-04-2024,00:00,07-04-2024,23:59,0.09
Malatya,01-04-2024,00:00,07-04-2024,23:59,0.15
Manisa,01-04-2024,00:00,07-04-2024,23:59,0.21
Kahramanmaraş,01-04-2024,00:00,07-04-2024,23:59,0.16
Mardin,01-04-2024,00:00,07-04-2024,23:59,0.17
Muğla,01-04-2024,00:00,07-04-2024,23:59,0.14
Muş,01-04-2024,00:00,07-04-2024,23:59,0.14
Nevşehir,01-04-2024,00:00,07-04-2024,23:59,0.15
Niğde,01-04-2024,00:00,07-04-2024,23:59,0.12
Ordu,01-04-2024,00:00,07-04-2024,23:59,0.22
Rize,01-04-2024,00:00,07-04-2024,23:59,0.13
Sakarya,01-04-2024,00:00,07-04-2024,23:59,0.19
Samsun,01-04-2024,00:00,07-04-2024,23:59,0.25
Siirt,01-04-2024,00:00,07-04-2024,23:59,0.19
Sinop,01-04-2024,00:00,07-04-2024,23:59,0.12
Sivas,01-04-2024,00:00,07-04-2024,23:59,0.11
Tekirdağ,01-04-2024,00:00,07-04-2024,23:59,0.12
Tokat,01-04-2024,00:00,07-04-2024,23:59,0.12
Trabzon,01-04-2024,00:00,07-04-2024,23:59,0.19
Tunceli,01-04-2024,00:00,07-04-2024,23:59,0.14
Şanlıurfa,01-04-2024,00:00,07-04-2024,23:59,0.15
Uşak,01-04-2024,00:00,07-04-2024,23:59,0.16
Van,01-04-2024,00:00,07-04-2024,23:59,0.17
Yozgat,01-04-2024,00:00,07-04-2024,23:59,0.06
Zonguldak,01-04-2024,00:00,07-04-2024,23:59,0.18
Aksaray,01-04-2024,00:00,07-04-2024,23:59,0.11
Bayburt,01-04-2024,00:00,07-04-2024,23:59,0.07
Karaman,01-04-2024,00:00,07-04-2024,23:59,0.11
Kırıkkale,01-04-2024,00:00,07-04-2024,23:59,0.2
Batman,01-04-2024,00:00,07-04-2024,23:59,0.19
Şırnak,01-04-2024,00:00,07-04-2024,23:59,0.15
Bartın,01-04-2024,00:00,07-04-2024,23:59,0.15
Ardahan,01-04-2024,00:00,07-04-2024,23:59,0.08
Iğdır,01-04-2024,00:00,07-04-2024,23:59,0.17
Yalova,01-04-2024,00:00,07-04-2024,23:59,0.24
Karabük,01-04-2024,00:00,07-04-2024,23:59,0.11
Kilis,01-04-2024,00:00,07-04-2024,23:59,0.15
Osmaniye,01-04-2024,00:00,07-04-2024,23:59,0.2
Düzce,01-04-2024,00:00,07-04-2024,23:59,0.16
Adana,08-04-2024,00:00,14-04-2024,23:59,0.21
Adıyaman,08-04-2024,00:00,14-04-2024,23:59,0.12
Afyonkarahisar,08-04-2024,00:00,14-04-2024,23:59,0.13
Ağrı,08-04-2024,00:00,14-04-2024,23:59,0.11
Amasya,08-04-2024,00:00,14-04-2024,23:59,0.1
Ankara,08-04-2024,00:00,14-04-2024,23:59,0.18
Antalya,08-04-2024,00:00,14-04-2024,23:59,0.18
Artvin,08-04-2024,00:00,14-04-2024,23:59,0.18
Aydın,08-04-2024,00:00,14-04-2024,23:59,0.21
Balıkesir,08-04-2024,00:00,14-04-2024,23:59,0.12
Bilecik,08-04-2024,00:00,14-04-2024,23:59,0.1
Bingöl,08-04-2024,00:00,14-04-2024,23:59,0.11
Bitlis,08-04-2024,00:00,14-04-2024,23:59,0.12
Bolu,08-04-2024,00:00,14-04-2024,23:59,0.14
Burdur,08-04-2024,00:00,14-04-2024,23:59,0.09
Bursa,08-04-2024,00:00,14-04-2024,23:59,0.28
Çanakkale,08-04-2024,00:00,14-04-2024,23:59,0.12
Çankırı,08-04-2024,00:00,14-04-2024,23:59,0.07
Çorum,08-04-2024,00:00,14-04-2024,23:59,0.08
Denizli,08-04-2024,00:00,14-04-2024,23:59,0.18
Diyarbakır,08-04-2024,00:00,14-04-2024,23:59,0.15
Edirne,08-04-2024,00:00,14-04-2024,23:59,0.17
Elazığ,08-04-2024,00:00,14-04-2024,23:59,0.12
Erzincan,08-04-2024,00:00,14-04-2024,23:59,0.11
Erzurum,08-04-2024,00:00,14-04-2024,23:59,0.14
Eskişehir,08-04-2024,00:00,14-04-2024,23:59,0.15
Gaziantep,08-04-2024,00:00,14-04-2024,23:59,0.17
Giresun,08-04-2024,00:00,14-04-2024,23:59,0.14
Gümüşhane,08-04-2024,00:00,14-04-2024,23:59,0.08
Hakkari,08-04-2024,00:00,14-04-2024,23:59,0.16
Hatay,08-04-2024,00:00,14-04-2024,23:59,0.21
Isparta,08-04-2024,00:00,14-04-2024,23:59,0.14
Mersin,08-04-2024,00:00,14-04-2024,23:59,0.21
İstanbul,08-04-2024,00:00,14-04-2024,23:59,0.34
İzmir,08-04-2024,00:00,14-04-2024,23:59,0.28
Kars,08-04-2024,00:00,14-04-2024,23:59,0.1
Kastamonu,08-04-2024,00:00,14-04-2024,23:59,0.09
Kayseri,08-04-2024,00:00,14-04-2024,23:59,0.13
Kırklareli,08-04-2024,00:00,14-04-2024,23:59,0.09
Kırşehir,08-04-2024,00:00,14-04-2024,23:59,0.12
Kocaeli,08-04-2024,00:00,14-04-2024,23:59,0.22
Konya,08-04-2024,00:00,14-04-2024,23:59,0.11
Kütahya,08-04-2024,00:00,14-04-2024,23:59,0.08
Malatya,08-04-2024,00:00,14-04-2024,23:59,0.13
Manisa,08-04-2024,00:00,14-04-2024,23:59,0.18
Kahramanmaraş,08-04-2024,00:00,14-04-2024,23:59,0.14
Mardin,08-04-2024,00:00,14-04-2024,23:59,0.16
Muğla,08-04-2024,00:00,14-04-2024,23:59,0.12
Muş,08-04-2024,00:00,14-04-2024,23:59,0.15
Nevşehir,08-04-2024,00:00,14-04-2024,23:59,0.13
Niğde,08-04-2024,00:00,14-04-2024,23:59,0.1
Ordu,08-04-2024,00:00,14-04-2024,23:59,0.2
Rize,08-04-2024,00:00,14-04-2024,23:59,0.11
Sakarya,08-04-2024,00:00,14-04-2024,23:59,0.18
Samsun,08-04-2024,00:00,14-04-2024,23:59,0.22
Siirt,08-04-2024,00:00,14-04-2024,23:59,0.19
Sinop,08-04-2024,00:00,14-04-2024,23:59,0.11
Sivas,08-04-2024,00:00,14-04-2024,23:59,0.1
Tekirdağ,08-04-2024,00:00,14-04-2024,23:59,0.11
Tokat,08-04-2024,00:00,14-04-2024,23:59,0.11
Trabzon,08-04-2024,00:00,14-04-2024,23:59,0.17
Tunceli,08-04-2024,00:00,14-04-2024,23:59,0.14
Şanlıurfa,08-04-2024,00:00,14-04-2024,23:59,0.13
Uşak,08-04-2024,00:00,14-04-2024,23:59,0.12
Van,08-04-2024,00:00,14-04-2024,23:59,0.16
Yozgat,08-04-2024,00:00,14-04-2024,23:59,0.05
Zonguldak,08-04-2024,00:00,14-04-2024,23:59,0.16
Aksaray,08-04-2024,00:00,14-04-2024,23:59,0.09
Bayburt,08-04-2024,00:00,14-04-2024,23:59,0.06
Karaman,08-04-2024,00:00,14-04-2024,23:59,0.09
Kırıkkale,08-04-2024,00:00,14-04-2024,23:59,0.18
Batman,08-04-2024,00:00,14-04-2024,23:59,0.18
Şırnak,08-04-2024,00:00,14-04-2024,23:59,0.14
Bartın,08-04-2024,00:00,14-04-2024,23:59,0.13
Ardahan,08-04-2024,00:00,14-04-2024,23:59,0.08
Iğdır,08-04-2024,00:00,14-04-2024,23:59,0.16
Yalova,08-04-2024,00:00,14-04-2024,23:59,0.22
Karabük,08-04-2024,00:00,14-04-2024,23:59,0.09
Kilis,08-04-2024,00:00,14-04-2024,23:59,0.16
Osmaniye,08-04-2024,00:00,14-04-2024,23:59,0.19
Düzce,08-04-2024,00:00,14-04-2024,23:59,0.14
Adana,15-04-2024,00:00,21-04-2024,23:59,0.22
Adıyaman,15-04-2024,00:00,21-04-2024,23:59,0.14
Afyonkarahisar,15-04-2024,00:00,21-04-2024,23:59,0.15
Ağrı,15-04-2024,00:00,21-04-2024,23:59,0.11
Amasya,15-04-2024,00:00,21-04-2024,23:59,0.12
Ankara,15-04-2024,00:00,21-04-2024,23:59,0.22
Antalya,15-04-2024,00:00,21-04-2024,23:59,0.2
Artvin,15-04-2024,00:00,21-04-2024,23:59,0.18
Aydın,15-04-2024,00:00,21-04-2024,23:59,0.23
Balıkesir,15-04-2024,00:00,21-04-2024,23:59,0.14
Bilecik,15-04-2024,00:00,21-04-2024,23:59,0.13
Bingöl,15-04-2024,00:00,21-04-2024,23:59,0.11
Bitlis,15-04-2024,00:00,21-04-2024,23:59,0.14
Bolu,15-04-2024,00:00,21-04-2024,23:59,0.17
Burdur,15-04-2024,00:00,21-04-2024,23:59,0.1
Bursa,15-04-2024,00:00,21-04-2024,23:59,0.32
Çanakkale,15-04-2024,00:00,21-04-2024,23:59,0.14
Çankırı,15-04-2024,00:00,21-04-2024,23:59,0.09
Çorum,15-04-2024,00:00,21-04-2024,23:59,0.11
Denizli,15-04-2024,00:00,21-04-2024,23:59,0.22
Diyarbakır,15-04-2024,00:00,21-04-2024,23:59,0.16
Edirne,15-04-2024,00:00,21-04-2024,23:59,0.18
Elazığ,15-04-2024,00:00,21-04-2024,23:59,0.13
Erzincan,15-04-2024,00:00,21-04-2024,23:59,0.14
Erzurum,15-04-2024,00:00,21-04-2024,23:59,0.15
Eskişehir,15-04-2024,00:00,21-04-2024,23:59,0.17
Gaziantep,15-04-2024,00:00,21-04-2024,23:59,0.19
Giresun,15-04-2024,00:00,21-04-2024,23:59,0.16
Gümüşhane,15-04-2024,00:00,21-04-2024,23:59,0.1
Hakkari,15-04-2024,00:00,21-04-2024,23:59,0.14
Hatay,15-04-2024,00:00,21-04-2024,23:59,0.24
Isparta,15-04-2024,00:00,21-04-2024,23:59,0.17
Mersin,15-04-2024,00:00,21-04-2024,23:59,0.23
İstanbul,15-04-2024,00:00,21-04-2024,23:59,0.4
İzmir,15-04-2024,00:00,21-04-2024,23:59,0.32
Kars,15-04-2024,00:00,21-04-2024,23:59,0.11
Kastamonu,15-04-2024,00:00,21-04-2024,23:59,0.11
Kayseri,15-04-2024,00:00,21-04-2024,23:59,0.15
Kırklareli,15-04-2024,00:00,21-04-2024,23:59,0.11
Kırşehir,15-04-2024,00:00,21-04-2024,23:59,0.12
Kocaeli,15-04-2024,00:00,21-04-2024,23:59,0.24
Konya,15-04-2024,00:00,21-04-2024,23:59,0.13
Kütahya,15-04-2024,00:00,21-04-2024,23:59,0.09
Malatya,15-04-2024,00:00,21-04-2024,23:59,0.15
Manisa,15-04-2024,00:00,21-04-2024,23:59,0.21
Kahramanmaraş,15-04-2024,00:00,21-04-2024,23:59,0.16
Mardin,15-04-2024,00:00,21-04-2024,23:59,0.17
Muğla,15-04-2024,00:00,21-04-2024,23:59,0.14
Muş,15-04-2024,00:00,21-04-2024,23:59,0.14
Nevşehir,15-04-2024,00:00,21-04-2024,23:59,0.15
Niğde,15-04-2024,00:00,21-04-2024,23:59,0.12
Ordu,15-04-2024,00:00,21-04-2024,23:59,0.22
Rize,15-04-2024,00:00,21-04-2024,23:59,0.13
Sakarya,15-04-2024,00:00,21-04-2024,23:59,0.2
Samsun,15-04-2024,00:00,21-04-2024,23:59,0.25
Siirt,15-04-2024,00:00,21-04-2024,23:59,0.2
Sinop,15-04-2024,00:00,21-04-2024,23:59,0.12
Sivas,15-04-2024,00:00,21-04-2024,23:59,0.11
Tekirdağ,15-04-2024,00:00,21-04-2024,23:59,0.12
Tokat,15-04-2024,00:00,21-04-2024,23:59,0.12
Trabzon,15-04-2024,00:00,21-04-2024,23:59,0.19
Tunceli,15-04-2024,00:00,21-04-2024,23:59,0.16
Şanlıurfa,15-04-2024,00:00,21-04-2024,23:59,0.15
Uşak,15-04-2024,00:00,21-04-2024,23:59,0.16
Van,15-04-2024,00:00,21-04-2024,23:59,0.18
Yozgat,15-04-2024,00:00,21-04-2024,23:59,0.06
Zonguldak,15-04-2024,00:00,21-04-2024,23:59,0.18
Aksaray,15-04-2024,00:00,21-04-2024,23:59,0.11
Bayburt,15-04-2024,00:00,21-04-2024,23:59,0.07
Karaman,15-04-2024,00:00,21-04-2024,23:59,0.11
Kırıkkale,15-04-2024,00:00,21-04-2024,23:59,0.2
Batman,15-04-2024,00:00,21-04-2024,23:59,0.19
Şırnak,15-04-2024,00:00,21-04-2024,23:59,0.16
Bartın,15-04-2024,00:00,21-04-2024,23:59,0.15
Ardahan,15-04-2024,00:00,21-04-2024,23:59,0.08
Iğdır,15-04-2024,00:00,21-04-2024,23:59,0.17
Yalova,15-04-2024,00:00,21-04-2024,23:59,0.25
Karabük,15-04-2024,00:00,21-04-2024,23:59,0.11
Kilis,15-04-2024,00:00,21-04-2024,23:59,0.16
Osmaniye,15-04-2024,00:00,21-04-2024,23:59,0.2
Düzce,15-04-2024,00:00,21-04-2024,23:59,0.16
Adana,22-04-2024,00:00,28-04-2024,23:59,0.22
Adıyaman,22-04-2024,00:00,28-04-2024,23:59,0.15
Afyonkarahisar,22-04-2024,00:00,28-04-2024,23:59,0.15
Ağrı,22-04-2024,00:00,28-04-2024,23:59,0.11
Amasya,22-04-2024,00:00,28-04-2024,23:59,0.12
Ankara,22-04-2024,00:00,28-04-2024,23:59,0.22
Antalya,22-04-2024,00:00,28-04-2024,23:59,0.2
Artvin,22-04-2024,00:00,28-04-2024,23:59,0.18
Aydın,22-04-2024,00:00,28-04-2024,23:59,0.23
Balıkesir,22-04-2024,00:00,28-04-2024,23:59,0.14
Bilecik,22-04-2024,00:00,28-04-2024,23:59,0.13
Bingöl,22-04-2024,00:00,28-04-2024,23:59,0.12
Bitlis,22-04-2024,00:00,28-04-2024,23:59,0.14
Bolu,22-04-2024,00:00,28-04-2024,23:59,0.17
Burdur,22-04-2024,00:00,28-04-2024,23:59,0.1
Bursa,22-04-2024,00:00,28-04-2024,23:59,0.32
Çanakkale,22-04-2024,00:00,28-04-2024,23:59,0.14
Çankırı,22-04-2024,00:00,28-04-2024,23:59,0.1
Çorum,22-04-2024,00:00,28-04-2024,23:59,0.11
Denizli,22-04-2024,00:00,28-04-2024,23:59,0.22
Diyarbakır,22-04-2024,00:00,28-04-2024,23:59,0.17
Edirne,22-04-2024,00:00,28-04-2024,23:59,0.18
Elazığ,22-04-2024,00:00,28-04-2024,23:59,0.13
Erzincan,22-04-2024,00:00,28-04-2024,23:59,0.13
Erzurum,22-04-2024,00:00,28-04-2024,23:59,0.15
Eskişehir,22-04-2024,00:00,28-04-2024,23:59,0.17
Gaziantep,22-04-2024,00:00,28-04-2024,23:59,0.2
Giresun,22-04-2024,00:00,28-04-2024,23:59,0.16
Gümüşhane,22-04-2024,00:00,28-04-2024,23:59,0.1
Hakkari,22-04-2024,00:00,28-04-2024,23:59,0.14
Hatay,22-04-2024,00:00,28-04-2024,23:59,0.25
Isparta,22-04-2024,00:00,28-04-2024,23:59,0.17
Mersin,22-04-2024,00:00,28-04-2024,23:59,0.23
İstanbul,22-04-2024,00:00,28-04-2024,23:59,0.41
İzmir,22-04-2024,00:00,28-04-2024,23:59,0.32
Kars,22-04-2024,00:00,28-04-2024,23:59,0.11
Kastamonu,22-04-2024,00:00,28-04-2024,23:59,0.11
Kayseri,22-04-2024,00:00,28-04-2024,23:59,0.16
Kırklareli,22-04-2024,00:00,28-04-2024,23:59,0.1
Kırşehir,22-04-2024,00:00,28-04-2024,23:59,0.12
Kocaeli,22-04-2024,00:00,28-04-2024,23:59,0.24
Konya,22-04-2024,00:00,28-04-2024,23:59,0.13
Kütahya,22-04-2024,00:00,28-04-2024,23:59,0.09
Malatya,22-04-2024,00:00,28-04-2024,23:59,0.15
Manisa,22-04-2024,00:00,28-04-2024,23:59,0.21
Kahramanmaraş,22-04-2024,00:00,28-04-2024,23:59,0.17
Mardin,22-04-2024,00:00,28-04-2024,23:59,0.18
Muğla,22-04-2024,00:00,28-04-2024,23:59,0.14
Muş,22-04-2024,00:00,28-04-2024,23:59,0.14
Nevşehir,22-04-2024,00:00,28-04-2024,23:59,0.15
Niğde,22-04-2024,00:00,28-04-2024,23:59,0.11
Ordu,22-04-2024,00:00,28-04-2024,23:59,0.22
Rize,22-04-2024,00:00,28-04-2024,23:59,0.13
Sakarya,22-04-2024,00:00,28-04-2024,23:59,0.2
Samsun,22-04-2024,00:00,28-04-2024,23:59,0.25
Siirt,22-04-2024,00:00,28-04-2024,23:59,0.2
Sinop,22-04-2024,00:00,28-04-2024,23:59,0.12
Sivas,22-04-2024,00:00,28-04-2024,23:59,0.11
Tekirdağ,22-04-2024,00:00,28-04-2024,23:59,0.13
Tokat,22-04-2024,00:00,28-04-2024,23:59,0.12
Trabzon,22-04-2024,00:00,28-04-2024,23:59,0.19
Tunceli,22-04-2024,00:00,28-04-2024,23:59,0.15
Şanlıurfa,22-04-2024,00:00,28-04-2024,23:59,0.15
Uşak,22-04-2024,00:00,28-04-2024,23:59,0.16
Van,22-04-2024,00:00,28-04-2024,23:59,0.17
Yozgat,22-04-2024,00:00,28-04-2024,23:59,0.06
Zonguldak,22-04-2024,00:00,28-04-2024,23:59,0.18
Aksaray,22-04-2024,00:00,28-04-2024,23:59,0.11
Bayburt,22-04-2024,00:00,28-04-2024,23:59,0.07
Karaman,22-04-2024,00:00,28-04-2024,23:59,0.1
Kırıkkale,22-04-2024,00:00,28-04-2024,23:59,0.2
Batman,22-04-2024,00:00,28-04-2024,23:59,0.19
Şırnak,22-04-2024,00:00,28-04-2024,23:59,0.16
Bartın,22-04-2024,00:00,28-04-2024,23:59,0.15
Ardahan,22-04-2024,00:00,28-04-2024,23:59,0.08
Iğdır,22-04-2024,00:00,28-04-2024,23:59,0.17
Yalova,22-04-2024,00:00,28-04-2024,23:59,0.25
Karabük,22-04-2024,00:00,28-04-2024,23:59,0.12
Kilis,22-04-2024,00:00,28-04-2024,23:59,0.16
Osmaniye,22-04-2024,00:00,28-04-2024,23:59,0.2
Düzce,22-04-2024,00:00,28-04-2024,23:59,0.16
Adana,29-04-2024,00:00,05-05-2024,23:59,0.22
Adıyaman,29-04-2024,00:00,05-05-2024,23:59,0.15
Afyonkarahisar,29-04-2024,00:00,05-05-2024,23:59,0.15
Ağrı,29-04-2024,00:00,05-05-2024,23:59,0.12
Amasya,29-04-2024,00:00,05-05-2024,23:59,0.12
Ankara,29-04-2024,00:00,05-05-2024,23:59,0.22
Antalya,29-04-2024,00:00,05-05-2024,23:59,0.2
Artvin,29-04-2024,00:00,05-05-2024,23:59,0.18
Aydın,29-04-2024,00:00,05-05-2024,23:59,0.23
Balıkesir,29-04-2024,00:00,05-05-2024,23:59,0.14
Bilecik,29-04-2024,00:00,05-05-2024,23:59,0.13
Bingöl,29-04-2024,00:00,05-05-2024,23:59,0.12
Bitlis,29-04-2024,00:00,05-05-2024,23:59,0.15
Bolu,29-04-2024,00:00,05-05-2024,23:59,0.17
Burdur,29-04-2024,00:00,05-05-2024,23:59,0.11
Bursa,29-04-2024,00:00,05-05-2024,23:59,0.33
Çanakkale,29-04-2024,00:00,05-05-2024,23:59,0.15
Çankırı,29-04-2024,00:00,05-05-2024,23:59,0.1
Çorum,29-04-2024,00:00,05-05-2024,23:59,0.11
Denizli,29-04-2024,00:00,05-05-2024,23:59,0.22
Diyarbakır,29-04-2024,00:00,05-05-2024,23:59,0.17
Edirne,29-04-2024,00:00,05-05-2024,23:59,0.19
Elazığ,29-04-2024,00:00,05-05-2024,23:59,0.14
Erzincan,29-04-2024,00:00,05-05-2024,23:59,0.14
Erzurum,29-04-2024,00:00,05-05-2024,23:59,0.15
Eskişehir,29-04-2024,00:00,05-05-2024,23:59,0.17
Gaziantep,29-04-2024,00:00,05-05-2024,23:59,0.2
Giresun,29-04-2024,00:00,05-05-2024,23:59,0.16
Gümüşhane,29-04-2024,00:00,05-05-2024,23:59,0.11
Hakkari,29-04-2024,00:00,05-05-2024,23:59,0.14
Hatay,29-04-2024,00:00,05-05-2024,23:59,0.25
Isparta,29-04-2024,00:00,05-05-2024,23:59,0.17
Mersin,29-04-2024,00:00,05-05-2024,23:59,0.23
